date,time,Reconstructed_Total
20-09-2024,14:30 - 14:35,164
20-09-2024,14:35 - 14:40,150
20-09-2024,14:40 - 14:45,143
20-09-2024,14:45 - 14:50,149
20-09-2024,14:50 - 14:55,161
20-09-2024,14:55 - 15:00,174
21-09-2024,06:00 - 06:05,131
21-09-2024,06:05 - 06:10,131
21-09-2024,06:10 - 06:15,145
21-09-2024,06:15 - 06:20,159
21-09-2024,06:20 - 06:25,155
21-09-2024,06:25 - 06:30,145
21-09-2024,06:30 - 06:35,152
21-09-2024,06:35 - 06:40,172
21-09-2024,06:40 - 06:45,188
21-09-2024,06:45 - 06:50,186
21-09-2024,06:50 - 06:55,177
21-09-2024,06:55 - 07:00,176
21-09-2024,07:00 - 07:05,184
21-09-2024,07:05 - 07:10,195
21-09-2024,07:10 - 07:15,207
21-09-2024,07:15 - 07:20,215
21-09-2024,07:20 - 07:25,219
21-09-2024,07:25 - 07:30,226
21-09-2024,07:30 - 07:35,246
21-09-2024,07:35 - 07:40,272
21-09-2024,07:40 - 07:45,287
21-09-2024,07:45 - 07:50,287
21-09-2024,07:50 - 07:55,277
21-09-2024,07:55 - 08:00,262
21-09-2024,08:00 - 08:05,241
21-09-2024,08:05 - 08:10,222
21-09-2024,08:10 - 08:15,211
21-09-2024,08:15 - 08:20,209
21-09-2024,08:20 - 08:25,211
21-09-2024,08:25 - 08:30,215
21-09-2024,08:30 - 08:35,218
21-09-2024,08:35 - 08:40,218
21-09-2024,08:40 - 08:45,216
21-09-2024,08:45 - 08:50,213
21-09-2024,08:50 - 08:55,211
21-09-2024,08:55 - 09:00,211
21-09-2024,09:00 - 09:05,213
21-09-2024,09:05 - 09:10,213
21-09-2024,09:10 - 09:15,213
21-09-2024,09:15 - 09:20,215
21-09-2024,09:20 - 09:25,218
21-09-2024,09:25 - 09:30,216
21-09-2024,09:30 - 09:35,207
21-09-2024,09:35 - 09:40,203
21-09-2024,09:40 - 09:45,217
21-09-2024,09:45 - 09:50,224
21-09-2024,09:50 - 09:55,206
21-09-2024,09:55 - 10:00,195
21-09-2024,10:00 - 10:05,200
21-09-2024,10:05 - 10:10,199
21-09-2024,10:10 - 10:15,188
21-09-2024,10:15 - 10:20,168
21-09-2024,10:20 - 10:25,147
21-09-2024,10:25 - 10:30,133
21-09-2024,10:30 - 10:35,134
21-09-2024,10:35 - 10:40,145
21-09-2024,10:40 - 10:45,157
21-09-2024,10:45 - 10:50,163
21-09-2024,10:50 - 10:55,166
21-09-2024,10:55 - 11:00,168
21-09-2024,11:00 - 11:05,172
21-09-2024,11:05 - 11:10,176
21-09-2024,11:10 - 11:15,179
21-09-2024,11:15 - 11:20,179
21-09-2024,11:20 - 11:25,178
21-09-2024,11:25 - 11:30,180
21-09-2024,11:30 - 11:35,187
21-09-2024,11:35 - 11:40,194
21-09-2024,11:40 - 11:45,199
21-09-2024,11:45 - 11:50,205
21-09-2024,11:50 - 11:55,205
21-09-2024,11:55 - 12:00,195
21-09-2024,12:00 - 12:05,187
21-09-2024,12:05 - 12:10,196
21-09-2024,12:10 - 12:15,216
21-09-2024,12:15 - 12:20,231
21-09-2024,12:20 - 12:25,224
21-09-2024,12:25 - 12:30,214
21-09-2024,12:30 - 12:35,225
21-09-2024,12:35 - 12:40,243
21-09-2024,12:40 - 12:45,252
21-09-2024,12:45 - 12:50,245
21-09-2024,12:50 - 12:55,231
21-09-2024,12:55 - 13:00,216
21-09-2024,13:00 - 13:05,204
21-09-2024,13:05 - 13:10,197
21-09-2024,13:10 - 13:15,199
21-09-2024,13:15 - 13:20,207
21-09-2024,13:20 - 13:25,217
21-09-2024,13:25 - 13:30,222
21-09-2024,13:30 - 13:35,217
21-09-2024,13:35 - 13:40,210
21-09-2024,13:40 - 13:45,214
21-09-2024,13:45 - 13:50,221
21-09-2024,13:50 - 13:55,222
21-09-2024,13:55 - 14:00,215
21-09-2024,14:00 - 14:05,213
21-09-2024,14:05 - 14:10,219
21-09-2024,14:10 - 14:15,225
21-09-2024,14:15 - 14:20,227
21-09-2024,14:20 - 14:25,222
21-09-2024,14:25 - 14:30,211
21-09-2024,14:30 - 14:35,200
21-09-2024,14:35 - 14:40,193
21-09-2024,14:40 - 14:45,195
21-09-2024,14:45 - 14:50,201
21-09-2024,14:50 - 14:55,206
21-09-2024,14:55 - 15:00,204
22-09-2024,06:00 - 06:05,159
22-09-2024,06:05 - 06:10,159
22-09-2024,06:10 - 06:15,159
22-09-2024,06:15 - 06:20,157
22-09-2024,06:20 - 06:25,156
22-09-2024,06:25 - 06:30,156
22-09-2024,06:30 - 06:35,159
22-09-2024,06:35 - 06:40,164
22-09-2024,06:40 - 06:45,168
22-09-2024,06:45 - 06:50,174
22-09-2024,06:50 - 06:55,180
22-09-2024,06:55 - 07:00,184
22-09-2024,07:00 - 07:05,188
22-09-2024,07:05 - 07:10,193
22-09-2024,07:10 - 07:15,203
22-09-2024,07:15 - 07:20,217
22-09-2024,07:20 - 07:25,229
22-09-2024,07:25 - 07:30,239
22-09-2024,07:30 - 07:35,246
22-09-2024,07:35 - 07:40,252
22-09-2024,07:40 - 07:45,260
22-09-2024,07:45 - 07:50,269
22-09-2024,07:50 - 07:55,270
22-09-2024,07:55 - 08:00,254
22-09-2024,08:00 - 08:05,231
22-09-2024,08:05 - 08:10,214
22-09-2024,08:10 - 08:15,206
22-09-2024,08:15 - 08:20,203
22-09-2024,08:20 - 08:25,200
22-09-2024,08:25 - 08:30,198
22-09-2024,08:30 - 08:35,198
22-09-2024,08:35 - 08:40,203
22-09-2024,08:40 - 08:45,212
22-09-2024,08:45 - 08:50,221
22-09-2024,08:50 - 08:55,221
22-09-2024,08:55 - 09:00,211
22-09-2024,09:00 - 09:05,197
22-09-2024,09:05 - 09:10,193
22-09-2024,09:10 - 09:15,200
22-09-2024,09:15 - 09:20,207
22-09-2024,09:20 - 09:25,208
22-09-2024,09:25 - 09:30,204
22-09-2024,09:30 - 09:35,201
22-09-2024,09:35 - 09:40,200
22-09-2024,09:40 - 09:45,198
22-09-2024,09:45 - 09:50,193
22-09-2024,09:50 - 09:55,185
22-09-2024,09:55 - 10:00,179
22-09-2024,10:00 - 10:05,188
22-09-2024,10:05 - 10:10,201
22-09-2024,10:10 - 10:15,197
22-09-2024,10:15 - 10:20,190
22-09-2024,10:20 - 10:25,188
22-09-2024,10:25 - 10:30,178
22-09-2024,10:30 - 10:35,169
22-09-2024,10:35 - 10:40,170
22-09-2024,10:40 - 10:45,183
22-09-2024,10:45 - 10:50,192
22-09-2024,10:50 - 10:55,192
22-09-2024,10:55 - 11:00,184
22-09-2024,11:00 - 11:05,180
22-09-2024,11:05 - 11:10,179
22-09-2024,11:10 - 11:15,177
22-09-2024,11:15 - 11:20,175
22-09-2024,11:20 - 11:25,179
22-09-2024,11:25 - 11:30,184
22-09-2024,11:30 - 11:35,185
22-09-2024,11:35 - 11:40,185
22-09-2024,11:40 - 11:45,185
22-09-2024,11:45 - 11:50,186
22-09-2024,11:50 - 11:55,188
22-09-2024,11:55 - 12:00,190
22-09-2024,12:00 - 12:05,194
22-09-2024,12:05 - 12:10,200
22-09-2024,12:10 - 12:15,207
22-09-2024,12:15 - 12:20,215
22-09-2024,12:20 - 12:25,220
22-09-2024,12:25 - 12:30,220
22-09-2024,12:30 - 12:35,217
22-09-2024,12:35 - 12:40,214
22-09-2024,12:40 - 12:45,214
22-09-2024,12:45 - 12:50,219
22-09-2024,12:50 - 12:55,222
22-09-2024,12:55 - 13:00,211
22-09-2024,13:00 - 13:05,201
22-09-2024,13:05 - 13:10,210
22-09-2024,13:10 - 13:15,218
22-09-2024,13:15 - 13:20,210
22-09-2024,13:20 - 13:25,208
22-09-2024,13:25 - 13:30,219
22-09-2024,13:30 - 13:35,227
22-09-2024,13:35 - 13:40,231
22-09-2024,13:40 - 13:45,231
22-09-2024,13:45 - 13:50,226
22-09-2024,13:50 - 13:55,215
22-09-2024,13:55 - 14:00,203
22-09-2024,14:00 - 14:05,204
22-09-2024,14:05 - 14:10,228
22-09-2024,14:10 - 14:15,248
22-09-2024,14:15 - 14:20,235
22-09-2024,14:20 - 14:25,211
22-09-2024,14:25 - 14:30,206
22-09-2024,14:30 - 14:35,205
22-09-2024,14:35 - 14:40,193
22-09-2024,14:40 - 14:45,179
22-09-2024,14:45 - 14:50,175
22-09-2024,14:50 - 14:55,180
22-09-2024,14:55 - 15:00,190
23-09-2024,06:00 - 06:05,152
23-09-2024,06:05 - 06:10,147
23-09-2024,06:10 - 06:15,155
23-09-2024,06:15 - 06:20,161
23-09-2024,06:20 - 06:25,156
23-09-2024,06:25 - 06:30,152
23-09-2024,06:30 - 06:35,158
23-09-2024,06:35 - 06:40,169
23-09-2024,06:40 - 06:45,176
23-09-2024,06:45 - 06:50,175
23-09-2024,06:50 - 06:55,170
23-09-2024,06:55 - 07:00,170
23-09-2024,07:00 - 07:05,180
23-09-2024,07:05 - 07:10,192
23-09-2024,07:10 - 07:15,200
23-09-2024,07:15 - 07:20,208
23-09-2024,07:20 - 07:25,226
23-09-2024,07:25 - 07:30,247
23-09-2024,07:30 - 07:35,263
23-09-2024,07:35 - 07:40,274
23-09-2024,07:40 - 07:45,277
23-09-2024,07:45 - 07:50,274
23-09-2024,07:50 - 07:55,262
23-09-2024,07:55 - 08:00,244
23-09-2024,08:00 - 08:05,225
23-09-2024,08:05 - 08:10,208
23-09-2024,08:10 - 08:15,201
23-09-2024,08:15 - 08:20,201
23-09-2024,08:20 - 08:25,206
23-09-2024,08:25 - 08:30,212
23-09-2024,08:30 - 08:35,215
23-09-2024,08:35 - 08:40,219
23-09-2024,08:40 - 08:45,225
23-09-2024,08:45 - 08:50,233
23-09-2024,08:50 - 08:55,236
23-09-2024,08:55 - 09:00,234
23-09-2024,09:00 - 09:05,224
23-09-2024,09:05 - 09:10,212
23-09-2024,09:10 - 09:15,202
23-09-2024,09:15 - 09:20,197
23-09-2024,09:20 - 09:25,198
23-09-2024,09:25 - 09:30,203
23-09-2024,09:30 - 09:35,203
23-09-2024,09:35 - 09:40,194
23-09-2024,09:40 - 09:45,184
23-09-2024,09:45 - 09:50,184
23-09-2024,09:50 - 09:55,190
23-09-2024,09:55 - 10:00,196
23-09-2024,10:00 - 10:05,203
23-09-2024,10:05 - 10:10,209
23-09-2024,10:10 - 10:15,211
23-09-2024,10:15 - 10:20,204
23-09-2024,10:20 - 10:25,190
23-09-2024,10:25 - 10:30,187
23-09-2024,10:30 - 10:35,193
23-09-2024,10:35 - 10:40,194
23-09-2024,10:40 - 10:45,196
23-09-2024,10:45 - 10:50,206
23-09-2024,10:50 - 10:55,216
23-09-2024,10:55 - 11:00,224
23-09-2024,11:00 - 11:05,227
23-09-2024,11:05 - 11:10,226
23-09-2024,11:10 - 11:15,222
23-09-2024,11:15 - 11:20,218
23-09-2024,11:20 - 11:25,213
23-09-2024,11:25 - 11:30,211
23-09-2024,11:30 - 11:35,210
23-09-2024,11:35 - 11:40,211
